id,artists
1,"['Bertha ""Chippie"" Hill']"
2,"[""St. John's Children's Choir""]"
3,"['""Weird Al"" Yankovic']"
4,"['Henry John Gauntlett', 'AH Mann', 'Stephen Cleobury', ""Choir of King's College, Cambridge""]"
5,"['Giacomo Puccini', 'Renata Tebaldi', ""L'Orchestre de la Suisse Romande"", 'Alberto Erede']"
6,"[""Original Broadway Cast of 'Pal Joey'""]"
7,"['Kartellen', 'Sebbe Staxx', 'Christopher ""Chrippa"" Wahlberg']"
8,"['Ingela ""Pling"" Forsman']"
9,['Benjamin Blümchen']
10,"['The Chenille Sisters', ""James Dapogny's Chicago Jazz Band""]"
11,"['Vivienne Segal', 'Pal Joey Ensemble (1951)']"
12,['Uli']
